func,train_R2,train_MAE,train_RMSE,test_R2,test_MAE,test_RMSE,elapsed_time,args
autoML,0.9811588808323946,1.1108509168462843,2.2843675413653983,0.9367722092122616,2.712901819655039,4.253457706785235,79.08988952636719,{'n_generation': 6}
auto-scikitlearn,0.9711363985018738,1.8038169508796291,2.8274041580882643,0.9166647150921006,3.075427938884901,4.883178247297367,82.66248416900635,{'target_time': 80}
tpot,0.992332677327235,0.6565486559505507,1.4572514720502094,0.9321544390282104,2.6324770783194125,4.406044041576358,89.1154088973999,{'generations': 3}
