func,train_R2,train_adjusted_R2,train_MAE,train_RMSE,test_R2,test_adjusted_R2,test_MAE,test_RMSE,elapsed_time,args,drop_categorical,target
autoML,0.956536510668884,0.9391820498042888,18870228.624431536,43021684.10403206,0.8201322439297744,-100,43286750.27737793,93547274.37950292,407.14737200737,{'n_generation': 6},False,Annual_revenue
tpot,0.8923553189780187,0.8493740620005585,44364900.597448416,67705102.5057101,0.6090337716077443,-100,63659612.31253644,137919000.866994,996.1920490264891,{'generations': 1},False,Annual_revenue
auto-scikitlearn,0.9629732668525277,0.9481889271402629,22346006.36823488,39708438.61713529,0.8812156413499667,-100,35197575.72486988,76021092.84389834,402.57860136032104,{'target_time': 400},False,Annual_revenue
