mode,args,seed,timestamp,train_R2,train_adjusted_R2,train_MAE,train_RMSE,test_R2,test_adjusted_R2,test_MAE,test_RMSE,elapsed_time
autoML,{'n_generation': 6},1,250209_055146,0.959343232470711,0.9592434122705408,4.201003917727718,7.16546595488644,-3.158106205432315,-3.1992755738029324,12.959333986287954,15.63030591125874,415.1551356315613
tpot,{'generations': 6},1,250209_055845,0.9158083656217764,0.9156016589329028,6.818830800379198,10.311277712691906,-0.6476738769196151,-0.6639874796613934,7.917462598562218,9.839098700303364,516.4019422531128
auto-sklearn,{'target_time': 400},1,250209_060727,0.9285408852828415,0.9283654393837077,6.187827773323446,9.499633042392917,-1.894323510389888,-1.9229801788095902,10.881718243654042,13.040469426353981,406.32775712013245
